time_ns,din_low,din_high,dout_merged
4006,     0, -5877,  -324
4016,     0,     0,  -324
4026,     0,  5877,  -201
4036,     0,  9510,     0
4046,     0,  9510,   200
4056,     0,  5877,   323
4066,     0,     0,   323
4076,     0, -5877,   200
4086,     0, -9510,     0
4096,     0, -9510,  -201
4106,     0, -5877,  -324
4116,     0,     0,  -324
4126,  3090,  4045,  -201
4136,  5877,  1545,    46
4146,  8090, -1545,   240
4156,  9510, -4045,   991
4166, 10000, -5000,  2291
4176,  9510, -4045,  3087
4186,  8090, -1545,  6484
4196,  5877,  1545,  8727
4206,  3090,  4045,  9826
4216,     0,  5000,  9931
4226, -3090,  4045,  9049
4236, -5877,  1545,  7241
4246, -8090, -1545,  4677
4256, -9510, -4045,  1616
4266,-10000, -5000, -1618
4276, -9510, -4045, -4679
4286, -8090, -1545, -7243
4296, -5877,  1545, -9051
4306, -3090,  4045, -9933
4316,     0,  5000, -9828
4326,  3090,  4045, -8776
4336,  5877,  1545, -6904
4346,  8090, -1545, -4404
4356,  9510, -4045, -1513
4366, 10000, -5000,  1511
4376,  9510, -4045,  4402
4386,  8090, -1545,  6902
4396,  5877,  1545,  8774
4406,  3090,  4045,  9826
4416,     0,  5000,  9931
4426, -3090,  4045,  9049
4436, -5877,  1545,  7241
4446, -8090, -1545,  4677
4456, -9510, -4045,  1616
4466,-10000, -5000, -1618
4476, -9510, -4045, -4679
4486, -8090, -1545, -7243
4496, -5877,  1545, -9051
4506, -3090,  4045, -9933
4516,     0,  5000, -9828
4526,  3090,  4045, -8776
4536,  5877,  1545, -6904
4546,  8090, -1545, -4404
4556,  9510, -4045, -1513
4566, 10000, -5000,  1511
4576,  9510, -4045,  4402
4586,  8090, -1545,  6902
4596,  5877,  1545,  8774
4606,  3090,  4045,  9826
4616,     0,  5000,  9931
4626, -3090,  4045,  9049
4636, -5877,  1545,  7241
4646, -8090, -1545,  4677
4656, -9510, -4045,  1616
4666,-10000, -5000, -1618
4676, -9510, -4045, -4679
4686, -8090, -1545, -7243
4696, -5877,  1545, -9051
4706, -3090,  4045, -9933
4716,     0,  5000, -9828
4726,  3090,  4045, -8776
4736,  5877,  1545, -6904
4746,  8090, -1545, -4404
4756,  9510, -4045, -1513
4766, 10000, -5000,  1511
4776,  9510, -4045,  4402
4786,  8090, -1545,  6902
4796,  5877,  1545,  8774
4806,  3090,  4045,  9826
4816,     0,  5000,  9931
4826, -3090,  4045,  9049
4836, -5877,  1545,  7241
4846, -8090, -1545,  4677
4856, -9510, -4045,  1616
4866,-10000, -5000, -1618
4876, -9510, -4045, -4679
4886, -8090, -1545, -7243
4896, -5877,  1545, -9051
4906, -3090,  4045, -9933
4916,     0,  5000, -9828
4926,  3090,  4045, -8776
4936,  5877,  1545, -6904
4946,  8090, -1545, -4404
4956,  9510, -4045, -1513
4966, 10000, -5000,  1511
4976,  9510, -4045,  4402
4986,  8090, -1545,  6902
4996,  5877,  1545,  8774
5006,  3090,  4045,  9826
5016,     0,  5000,  9931
5026, -3090,  4045,  9049
5036, -5877,  1545,  7241
5046, -8090, -1545,  4677
5056, -9510, -4045,  1616
5066,-10000, -5000, -1618
5076, -9510, -4045, -4679
5086, -8090, -1545, -7243
5096, -5877,  1545, -9051
5106, -3090,  4045, -9933
5116,     0,  5000, -9828
5126,  3090,  4045, -8776
5136,  5877,  1545, -6904
5146,  8090, -1545, -4404
5156,  9510, -4045, -1513
5166, 10000, -5000,  1511
5176,  9510, -4045,  4402
5186,  8090, -1545,  6902
5196,  5877,  1545,  8774
5206,  3090,  4045,  9826
5216,     0,  5000,  9931
5226, -3090,  4045,  9049
5236, -5877,  1545,  7241
5246, -8090, -1545,  4677
5256, -9510, -4045,  1616
5266,-10000, -5000, -1618
5276, -9510, -4045, -4679
5286, -8090, -1545, -7243
5296, -5877,  1545, -9051
5306, -3090,  4045, -9933
5316,     0,  5000, -9828
5326,  3090,  4045, -8776
5336,  5877,  1545, -6904
5346,  8090, -1545, -4404
5356,  9510, -4045, -1513
5366, 10000, -5000,  1511
5376,  9510, -4045,  4402
5386,  8090, -1545,  6902
5396,  5877,  1545,  8774
5406,  3090,  4045,  9826
5416,     0,  5000,  9931
5426, -3090,  4045,  9049
5436, -5877,  1545,  7241
5446, -8090, -1545,  4677
5456, -9510, -4045,  1616
5466,-10000, -5000, -1618
5476, -9510, -4045, -4679
5486, -8090, -1545, -7243
5496, -5877,  1545, -9051
5506, -3090,  4045, -9933
5516,     0,  5000, -9828
5526,  3090,  4045, -8776
5536,  5877,  1545, -6904
5546,  8090, -1545, -4404
5556,  9510, -4045, -1513
5566, 10000, -5000,  1511
5576,  9510, -4045,  4402
5586,  8090, -1545,  6902
5596,  5877,  1545,  8774
5606,  3090,  4045,  9826
5616,     0,  5000,  9931
5626, -3090,  4045,  9049
5636, -5877,  1545,  7241
5646, -8090, -1545,  4677
5656, -9510, -4045,  1616
5666,-10000, -5000, -1618
5676, -9510, -4045, -4679
5686, -8090, -1545, -7243
5696, -5877,  1545, -9051
5706, -3090,  4045, -9933
5716,     0,  5000, -9828
5726,  3090,  4045, -8776
5736,  5877,  1545, -6904
5746,  8090, -1545, -4404
5756,  9510, -4045, -1513
5766, 10000, -5000,  1511
5776,  9510, -4045,  4402
5786,  8090, -1545,  6902
5796,  5877,  1545,  8774
5806,  3090,  4045,  9826
5816,     0,  5000,  9931
5826, -3090,  4045,  9049
5836, -5877,  1545,  7241
5846, -8090, -1545,  4677
5856, -9510, -4045,  1616
5866,-10000, -5000, -1618
5876, -9510, -4045, -4679
5886, -8090, -1545, -7243
5896, -5877,  1545, -9051
5906, -3090,  4045, -9933
5916,     0,  5000, -9828
5926,  3090,  4045, -8776
5936,  5877,  1545, -6904
5946,  8090, -1545, -4404
5956,  9510, -4045, -1513
5966, 10000, -5000,  1511
5976,  9510, -4045,  4402
5986,  8090, -1545,  6902
5996,  5877,  1545,  8774
6006,  3090,  4045,  9826
6016,     0,  5000,  9931
6026, -3090,  4045,  9049
6036, -5877,  1545,  7241
6046, -8090, -1545,  4677
6056, -9510, -4045,  1616
6066,-10000, -5000, -1618
6076, -9510, -4045, -4679
6086, -8090, -1545, -7243
6096, -5877,  1545, -9051
6106, -3090,  4045, -9933
6116,     0,  5000, -9828
6126,  3090,  4045, -8776
6136,  5877,  1545, -6904
6146,  8090, -1545, -4404
6156,  9510, -4045, -1513
6166, 10000, -5000,  1511
6176,  9510, -4045,  4402
6186,  8090, -1545,  6902
6196,  5877,  1545,  8774
6206,  3090,  4045,  9826
6216,     0,  5000,  9931
6226, -3090,  4045,  9049
6236, -5877,  1545,  7241
6246, -8090, -1545,  4677
6256, -9510, -4045,  1616
6266,-10000, -5000, -1618
6276, -9510, -4045, -4679
6286, -8090, -1545, -7243
6296, -5877,  1545, -9051
6306, -3090,  4045, -9933
6316,     0,  5000, -9828
6326,  3090,  4045, -8776
6336,  5877,  1545, -6904
6346,  8090, -1545, -4404
6356,  9510, -4045, -1513
6366, 10000, -5000,  1511
6376,  9510, -4045,  4402
6386,  8090, -1545,  6902
6396,  5877,  1545,  8774
6406,  3090,  4045,  9826
6416,     0,  5000,  9931
6426, -3090,  4045,  9049
6436, -5877,  1545,  7241
6446, -8090, -1545,  4677
6456, -9510, -4045,  1616
6466,-10000, -5000, -1618
6476, -9510, -4045, -4679
6486, -8090, -1545, -7243
6496, -5877,  1545, -9051
6506, -3090,  4045, -9933
6516,     0,  5000, -9828
6526,  3090,  4045, -8776
6536,  5877,  1545, -6904
6546,  8090, -1545, -4404
6556,  9510, -4045, -1513
6566, 10000, -5000,  1511
6576,  9510, -4045,  4402
